,EVENT_ID,LOCATION,RIVMILE,BASIN,DATE,MoYr,RICHNESS,RICH_SCORE,EPT_RICH,EPT_SCORE,HBI,HBI_SCORE,SHANNON,SHANNON_SCORE,FINAL_SCORE,RM_MoYr
1,2.3_REGI_9_8/13/2014_1,REGI,2.3,9,8/13/2014,14-Aug,20,5.59,8,6.36,6.1,5.5,3.786376389,6.97,6.11,2.3 - Aug-14
2,2.3_REGI_9_8/13/2014_2,REGI,2.3,9,8/13/2014,14-Aug,16,4.26,7,5.91,5.53,6.21,3.579782696,6.45,5.71,2.3 - Aug-14
3,2.3_REGI_9_8/13/2014_3,REGI,2.3,9,8/13/2014,14-Aug,20,5.59,9,6.82,6.44,5.07,3.501940907,6.25,5.93,2.3 - Aug-14
4,2.3_REGI_9_8/13/2014_4,REGI,2.3,9,8/13/2014,14-Aug,21,5.88,10,7.27,6.15,5.44,3.405077647,6.01,6.15,2.3 - Aug-14
5,2.7_REGI_9_8/13/2014_1,REGI,2.7,9,8/13/2014,14-Aug,34,9.72,17,10,5.28,6.52,4.268450923,8.17,8.6,2.7 - Aug-14
6,2.7_REGI_9_8/13/2014_2,REGI,2.7,9,8/13/2014,14-Aug,41,10,23,10,4.91,6.99,4.585853251,8.96,8.99,2.7 - Aug-14
7,2.7_REGI_9_8/13/2014_3,REGI,2.7,9,8/13/2014,14-Aug,38,10,19,10,4.98,6.9,4.493190022,8.73,8.91,2.7 - Aug-14
8,2.7_REGI_9_8/13/2014_4,REGI,2.7,9,8/13/2014,14-Aug,39,10,20,10,4.77,7.16,4.396187638,8.49,8.91,2.7 - Aug-14
9,2.8_REGI_9_8/13/2014_1,REGI,2.8,9,8/13/2014,14-Aug,28,8.06,10,7.27,4.85,7.06,4.087102286,7.72,7.53,2.8 - Aug-14
10,2.8_REGI_9_8/13/2014_2,REGI,2.8,9,8/13/2014,14-Aug,23,6.47,12,8.5,5.17,6.66,3.442582202,6.11,6.94,2.8 - Aug-14
11,2.8_REGI_9_8/13/2014_3,REGI,2.8,9,8/13/2014,14-Aug,24,6.76,14,9.5,4.46,7.54,4.044349233,7.61,7.85,2.8 - Aug-14
12,2.8_REGI_9_8/13/2014_4,REGI,2.8,9,8/13/2014,14-Aug,29,8.33,12,8.5,5.49,6.26,3.880357849,7.2,7.57,2.8 - Aug-14
13,3.1_REGI_9_8/13/2014_1,REGI,3.1,9,8/13/2014,14-Aug,20,5.59,11,8,5.98,5.65,2.609726429,4.02,5.81,3.1 - Aug-14
14,3.1_REGI_9_8/13/2014_2,REGI,3.1,9,8/13/2014,14-Aug,22,6.18,12,8.5,5.63,6.09,3.370106999,5.93,6.67,3.1 - Aug-14
15,3.1_REGI_9_8/13/2014_3,REGI,3.1,9,8/13/2014,14-Aug,33,9.44,15,10,5.63,6.09,3.609488153,6.52,8.01,3.1 - Aug-14
16,3.1_REGI_9_8/13/2014_4,REGI,3.1,9,8/13/2014,14-Aug,21,5.88,11,8,5.47,6.29,3.36419707,5.91,6.52,3.1 - Aug-14
17,3.3_REGI_9_8/13/2014_1,REGI,3.3,9,8/13/2014,14-Aug,23,6.47,10,7.27,4.53,7.46,3.88804332,7.22,7.1,3.3 - Aug-14
18,3.3_REGI_9_8/13/2014_2,REGI,3.3,9,8/13/2014,14-Aug,20,5.59,12,8.5,3.5,8.5,3.746418348,6.87,7.37,3.3 - Aug-14
19,3.3_REGI_9_8/13/2014_3,REGI,3.3,9,8/13/2014,14-Aug,20,5.59,11,8,3.03,8.97,3.287503171,5.72,7.07,3.3 - Aug-14
20,3.3_REGI_9_8/13/2014_4,REGI,3.3,9,8/13/2014,14-Aug,29,8.33,15,10,3.76,8.24,4.09438292,7.74,8.58,3.3 - Aug-14
21,4_REGI_9_8/13/2014_1,REGI,4,9,8/13/2014,14-Aug,33,9.44,12,8.5,5.64,6.08,3.537298099,6.34,7.59,4-Aug-14
22,4_REGI_9_8/13/2014_2,REGI,4,9,8/13/2014,14-Aug,32,9.17,17,10,4.9,7,3.96143955,7.4,8.39,4-Aug-14
23,4_REGI_9_8/13/2014_3,REGI,4,9,8/13/2014,14-Aug,31,8.89,13,9,5.41,6.36,3.795819216,6.99,7.81,4-Aug-14
24,4_REGI_9_8/13/2014_4,REGI,4,9,8/13/2014,14-Aug,34,9.72,21,10,3.59,8.41,4.098737699,7.75,8.97,4-Aug-14
25,7.8_REGI_9_8/13/2014_1,REGI,7.8,9,8/13/2014,14-Aug,38,10,23,10,4.83,7.09,4.20077939,8,8.77,7.8 - Aug-14
26,7.8_REGI_9_8/13/2014_2,REGI,7.8,9,8/13/2014,14-Aug,27,7.78,18,10,4.94,6.95,3.720187723,6.8,7.88,7.8 - Aug-14
27,7.8_REGI_9_8/13/2014_3,REGI,7.8,9,8/13/2014,14-Aug,34,9.72,20,10,3.84,8.16,3.942193983,7.36,8.81,7.8 - Aug-14
28,7.8_REGI_9_8/13/2014_4,REGI,7.8,9,8/13/2014,14-Aug,28,8.06,17,10,4.42,7.58,3.883517387,7.21,8.21,7.8 - Aug-14
29,2.8_REGI_9_8/19/2015_1,REGI,2.8,9,8/19/2015,15-Aug,18,4.85,10,7.27,5.52,6.23,3.290303722,5.73,6.02,2.8 - Aug-15
30,2.8_REGI_9_8/19/2015_2,REGI,2.8,9,8/19/2015,15-Aug,17,4.56,12,8.5,4.73,7.21,3.111471883,5.28,6.39,2.8 - Aug-15
31,2.8_REGI_9_8/19/2015_3,REGI,2.8,9,8/19/2015,15-Aug,13,3.38,9,6.82,4.99,6.89,3.06819073,5.17,5.56,2.8 - Aug-15
32,2.8_REGI_9_8/19/2015_4,REGI,2.8,9,8/19/2015,15-Aug,20,5.59,14,9.5,4.11,7.89,3.686108821,6.72,7.42,2.8 - Aug-15
33,3.1_REGI_9_8/19/2015_1,REGI,3.1,9,8/19/2015,15-Aug,17,4.56,8,6.36,6.57,4.91,2.870713585,4.68,5.13,3.1 - Aug-15
34,3.1_REGI_9_8/19/2015_2,REGI,3.1,9,8/19/2015,15-Aug,14,3.68,7,5.91,5.75,5.94,2.688015877,4.22,4.94,3.1 - Aug-15
35,3.1_REGI_9_8/19/2015_3,REGI,3.1,9,8/19/2015,15-Aug,26,7.35,11,8,5.96,5.67,3.595131906,6.49,6.88,3.1 - Aug-15
36,3.1_REGI_9_8/19/2015_4,REGI,3.1,9,8/19/2015,15-Aug,14,3.68,6,5.45,5.7,6,2.766785101,4.42,4.89,3.1 - Aug-15
37,3.3_REGI_9_8/19/2015_1,REGI,3.3,9,8/19/2015,15-Aug,14,3.68,7,5.91,5.44,6.32,3.509275071,6.27,5.54,3.3 - Aug-15
38,3.3_REGI_9_8/19/2015_2,REGI,3.3,9,8/19/2015,15-Aug,19,5.29,12,8.5,4.89,7.01,3.800030801,7,6.95,3.3 - Aug-15
39,3.3_REGI_9_8/19/2015_3,REGI,3.3,9,8/19/2015,15-Aug,17,4.56,11,8,3.66,8.34,3.456895159,6.14,6.76,3.3 - Aug-15
40,3.3_REGI_9_8/19/2015_4,REGI,3.3,9,8/19/2015,15-Aug,10,2.27,6,5.45,6.24,5.32,2.720089187,4.3,4.34,3.3 - Aug-15
41,4_REGI_9_8/19/2015_1,REGI,4,9,8/19/2015,15-Aug,17,4.56,6,5.45,6.3,5.25,3.577750084,6.44,5.42,4-Aug-15
42,4_REGI_9_8/19/2015_2,REGI,4,9,8/19/2015,15-Aug,18,4.85,8,6.36,6.34,5.2,3.792017077,6.98,5.85,4-Aug-15
43,4_REGI_9_8/19/2015_3,REGI,4,9,8/19/2015,15-Aug,21,5.88,10,7.27,4.13,7.87,3.686342645,6.72,6.93,4-Aug-15
44,4_REGI_9_8/19/2015_4,REGI,4,9,8/19/2015,15-Aug,11,2.79,4,4.17,6.1,5.5,2.502583407,3.76,4.05,4-Aug-15
45,7.8_REGI_9_8/19/2015_1,REGI,7.8,9,8/19/2015,15-Aug,10,2.27,6,5.45,3.6,8.4,2.751051018,4.38,5.12,7.8 - Aug-15
46,7.8_REGI_9_8/19/2015_2,REGI,7.8,9,8/19/2015,15-Aug,19,5.29,12,8.5,4.17,7.83,3.887682187,7.22,7.21,7.8 - Aug-15
47,7.8_REGI_9_8/19/2015_3,REGI,7.8,9,8/19/2015,15-Aug,22,6.18,14,9.5,3.69,8.31,3.832492837,7.08,7.77,7.8 - Aug-15
48,7.8_REGI_9_8/19/2015_4,REGI,7.8,9,8/19/2015,15-Aug,24,6.76,15,10,4,8,3.486076721,6.22,7.75,7.8 - Aug-15
49,2.3_REGI_9_8/20/2015_1,REGI,2.3,9,8/20/2015,15-Aug,21,5.88,8,6.36,5.77,5.91,3.720747501,6.8,6.24,2.3 - Aug-15
50,2.3_REGI_9_8/20/2015_2,REGI,2.3,9,8/20/2015,15-Aug,20,5.59,8,6.36,6.17,5.41,3.581631421,6.45,5.95,2.3 - Aug-15
51,2.3_REGI_9_8/20/2015_3,REGI,2.3,9,8/20/2015,15-Aug,12,3.09,7,5.91,5.54,6.2,2.801269363,4.5,4.92,2.3 - Aug-15
52,2.3_REGI_9_8/20/2015_4,REGI,2.3,9,8/20/2015,15-Aug,11,2.79,8,6.36,6.32,5.22,1.687427466,1.72,4.02,2.3 - Aug-15
53,2.7_REGI_9_8/20/2015_1,REGI,2.7,9,8/20/2015,15-Aug,26,7.35,13,9,3.62,8.38,4.003882012,7.51,8.06,2.7 - Aug-15
54,2.7_REGI_9_8/20/2015_2,REGI,2.7,9,8/20/2015,15-Aug,23,6.47,13,9,5.63,6.09,3.859443209,7.15,7.18,2.7 - Aug-15
55,2.7_REGI_9_8/20/2015_3,REGI,2.7,9,8/20/2015,15-Aug,30,8.61,16,10,4.48,7.52,4.213663492,8.03,8.54,2.7 - Aug-15
56,2.7_REGI_9_8/20/2015_4,REGI,2.7,9,8/20/2015,15-Aug,31,8.89,13,9,5.02,6.85,3.957562123,7.39,8.03,2.7 - Aug-15
57,2.3_REGI_9_7/6/2016_1,REGI,2.3,9,7/6/2016,16-Jul,12,3.09,6,5.45,6.17,5.41,2.881972643,4.7,4.66,2.3 - Jul-16
58,2.3_REGI_9_7/6/2016_2,REGI,2.3,9,7/6/2016,16-Jul,11,2.79,6,5.45,5.72,5.98,2.307380549,3.27,4.37,2.3 - Jul-16
59,2.3_REGI_9_7/6/2016_3,REGI,2.3,9,7/6/2016,16-Jul,16,4.26,10,7.27,5.95,5.69,3.06274176,5.16,5.59,2.3 - Jul-16
60,2.3_REGI_9_7/6/2016_4,REGI,2.3,9,7/6/2016,16-Jul,13,3.38,10,7.27,5.48,6.27,2.835347981,4.59,5.38,2.3 - Jul-16
61,2.7_REGI_9_7/6/2016_1,REGI,2.7,9,7/6/2016,16-Jul,28,8.06,14,9.5,4.29,7.71,3.784570357,6.96,8.06,2.7 - Jul-16
62,2.7_REGI_9_7/6/2016_2,REGI,2.7,9,7/6/2016,16-Jul,43,10,21,10,4.71,7.24,4.463542404,8.66,8.97,2.7 - Jul-16
63,2.7_REGI_9_7/6/2016_3,REGI,2.7,9,7/6/2016,16-Jul,27,7.78,11,8,5.12,6.72,3.874102237,7.19,7.42,2.7 - Jul-16
64,2.8_REGI_9_7/6/2016_1,REGI,2.8,9,7/6/2016,16-Jul,36,10,21,10,4.52,7.48,4.438080916,8.6,9.02,2.8 - Jul-16
65,2.8_REGI_9_7/6/2016_2,REGI,2.8,9,7/6/2016,16-Jul,27,7.78,15,10,5.02,6.85,3.889056555,7.22,7.96,2.8 - Jul-16
66,2.8_REGI_9_7/6/2016_3,REGI,2.8,9,7/6/2016,16-Jul,25,7.06,19,10,3.89,8.11,4.018987004,7.55,8.18,2.8 - Jul-16
67,2.8_REGI_9_7/6/2016_4,REGI,2.8,9,7/6/2016,16-Jul,24,6.76,14,9.5,4.24,7.76,3.92813077,7.32,7.84,2.8 - Jul-16
68,3.1_REGI_9_7/6/2016_1,REGI,3.1,9,7/6/2016,16-Jul,25,7.06,9,6.82,6.23,5.34,3.240891065,5.6,6.21,3.1 - Jul-16
69,3.1_REGI_9_7/6/2016_2,REGI,3.1,9,7/6/2016,16-Jul,15,3.97,5,4.72,6.41,5.11,1.897511775,2.24,4.01,3.1 - Jul-16
70,3.1_REGI_9_7/6/2016_3,REGI,3.1,9,7/6/2016,16-Jul,18,4.85,6,5.45,6.18,5.4,2.907195481,4.77,5.12,3.1 - Jul-16
71,3.1_REGI_9_7/6/2016_4,REGI,3.1,9,7/6/2016,16-Jul,24,6.76,9,6.82,6.31,5.24,3.099158243,5.25,6.02,3.1 - Jul-16
72,3.3_REGI_9_7/6/2016_1,REGI,3.3,9,7/6/2016,16-Jul,10,2.27,5,4.72,4.61,7.36,2.695375874,4.24,4.65,3.3 - Jul-16
73,3.3_REGI_9_7/6/2016_2,REGI,3.3,9,7/6/2016,16-Jul,16,4.26,9,6.82,5.19,6.64,3.594572321,6.49,6.05,3.3 - Jul-16
74,3.3_REGI_9_7/6/2016_3,REGI,3.3,9,7/6/2016,16-Jul,17,4.56,13,9,4.97,6.91,3.32125502,5.8,6.57,3.3 - Jul-16
75,3.3_REGI_9_7/6/2016_4,REGI,3.3,9,7/6/2016,16-Jul,15,3.97,8,6.36,5.31,6.49,3.198006007,5.5,5.58,3.3 - Jul-16
76,4_REGI_9_7/6/2016_1,REGI,4,9,7/6/2016,16-Jul,41,10,19,10,5.67,6.04,4.535493383,8.84,8.72,4-Jul-16
77,4_REGI_9_7/6/2016_2,REGI,4,9,7/6/2016,16-Jul,25,7.06,8,6.36,6.2,5.38,3.823763611,7.06,6.46,4-Jul-16
78,4_REGI_9_7/6/2016_3,REGI,4,9,7/6/2016,16-Jul,19,5.29,5,4.72,6.23,5.34,3.450267385,6.13,5.37,4-Jul-16
79,4_REGI_9_7/6/2016_4,REGI,4,9,7/6/2016,16-Jul,30,8.61,15,10,6.07,5.54,4.155723146,7.89,8.01,4-Jul-16
80,7.8_REGI_9_7/6/2016_1,REGI,7.8,9,7/6/2016,16-Jul,43,10,24,10,4.97,6.91,4.241856767,8.1,8.75,7.8 - Jul-16
81,7.8_REGI_9_7/6/2016_2,REGI,7.8,9,7/6/2016,16-Jul,46,10,22,10,4.53,7.46,4.549051955,8.87,9.08,7.8 - Jul-16
